link_id,from_node_id,to_node_id,flow,travel_time,free_flow_travel_time
11,1.0,14,0,477.48145202381096,477.48145202381096
29,1.0,30,0,3206.5442976623954,3206.5442976623954
49,2.0,34,0,1782.756619770551,1782.756619770551
70,2.0,47,0,1457.224222829999,1457.224222829999
2,3.0,4,0,1175.6123628319683,1175.6123628319683
3,4.0,5,0,1128.400462301316,1128.400462301316
48,4.0,36,0,1860.5018206221184,1860.5018206221184
4,5.0,6,0,1291.256042849864,1291.256042849864
5,6.0,7,0,1174.885356730088,1174.885356730088
6,7.0,8,0,1279.617731492413,1279.617731492413
56,7.0,38,0,385.56847479759983,385.56847479759983
60,7.0,42,0,215.8190027254364,215.8190027254364
7,8.0,9,0,1058.5768078839772,1058.5768078839772
10,9.0,10,0,1000.3914648240894,1000.3914648240894
8,10.0,11,0,930.6361614077821,930.6361614077821
9,11.0,12,0,613.5310127132861,613.5310127132861
64,11.0,44,0,2151.8979113272426,2151.8979113272426
28,12.0,2,0,699.336373917258,699.336373917258
12,14.0,15,0,393.45943057402417,393.45943057402417
13,15.0,16,0,423.1424062037854,423.1424062037854
14,16.0,17,0,663.3278238284017,663.3278238284017
15,17.0,18,0,628.3569662097506,628.3569662097506
16,18.0,19,0,674.9102116395541,674.9102116395541
17,19.0,20,0,744.7525072389923,744.7525072389923
18,20.0,21,0,698.1930480818224,698.1930480818224
19,21.0,22,0,826.2331141958815,826.2331141958815
20,22.0,23,0,661.7619645320442,661.7619645320442
21,23.0,24,0,850.9575353871774,850.9575353871774
59,23.0,39,0,455.2234026179867,455.2234026179867
62,23.0,43,0,319.41235346357945,319.41235346357945
22,24.0,25,0,861.0983384493021,861.0983384493021
23,25.0,26,0,872.7366498067531,872.7366498067531
24,26.0,27,0,721.4634570693576,721.4634570693576
25,27.0,28,0,779.6674413113451,779.6674413113451
26,28.0,29,0,611.2505747697815,611.2505747697815
27,29.0,2,0,792.542284414729,792.542284414729
55,30.0,1,0,1479.891900262984,1479.891900262984
30,30.0,31,0,3118.04839250873,3118.04839250873
54,31.0,30,0,1439.1508798159973,1439.1508798159973
31,31.0,32,0,2885.3940124523097,2885.3940124523097
37,31.0,36,0,558.8052818594531,558.8052818594531
38,31.0,37,0,553.1555697462218,553.1555697462218
53,32.0,31,0,1331.7203134395274,1331.7203134395274
32,32.0,33,0,2471.4603502056743,2471.4603502056743
52,33.0,32,0,1140.6223860521895,1140.6223860521895
34,33.0,35,0,3043.2599699255597,3043.2599699255597
41,33.0,38,0,512.1334976306579,512.1334976306579
42,33.0,39,0,499.80737445163857,499.80737445163857
33,34.0,2,0,5793.959014254291,5793.959014254291
50,34.0,35,0,1342.4518985804978,1342.4518985804978
51,35.0,33,0,1404.633146316072,1404.633146316072
35,35.0,34,0,8725.937340773236,8725.937340773236
45,35.0,40,0,465.9091017722506,465.9091017722506
46,35.0,41,0,734.4683104684099,734.4683104684099
36,36.0,31,0,1210.8317695452795,1210.8317695452795
39,37.0,31,0,553.1555697462218,553.1555697462218
57,38.0,7,0,385.5340603075699,385.5340603075699
40,38.0,33,0,512.0761401472748,512.0761401472748
58,39.0,23,0,455.2119311213101,455.2119311213101
43,39.0,33,0,499.80737445163857,499.80737445163857
44,40.0,35,0,465.9894022489869,465.9894022489869
47,41.0,35,0,734.4224244817034,734.4224244817034
61,42.0,7,0,215.8075312287598,215.8075312287598
63,43.0,23,0,319.4066177152411,319.4066177152411
65,44.0,11,0,2151.8921755789042,2151.8921755789042
66,44.0,45,0,2234.2804647103308,2234.2804647103308
76,44.0,47,0,898.0805318185859,898.0805318185859
67,45.0,44,0,2234.2862004586686,2234.2862004586686
68,45.0,46,0,1668.5119843681737,1668.5119843681737
69,46.0,45,0,1668.5062486198356,1668.5062486198356
71,47.0,2,0,1457.224222829999,1457.224222829999
77,47.0,44,0,898.0690603219093,898.0690603219093
72,47.0,48,0,2036.4200900321298,2036.4200900321298
78,47.0,50,0,998.8748373676357,998.8748373676357
73,48.0,47,0,2036.4717117671744,2036.4717117671744
74,48.0,49,0,1835.1870953310051,1835.1870953310051
75,49.0,48,0,1835.23871706605,1835.23871706605
79,50.0,47,0,998.8748373676357,998.8748373676357
